Id,Label,indegree,closnesscentrality,betweenesscentrality,componentnumber,eigencentrality
Royal College Of General Practitioners,Royal College Of General Practitioners,6,0.262032,0.000001,0,0.00396
"Ann Arbor, Michigan","Ann Arbor, Michigan",2,0,0,0,0.004028
Virtual Network,Virtual Network,2,0,0,0,0.006706
Electronic Component,Electronic Component,5,0,0,0,0.011421
Silica,Silica,3,0,0,0,0.010659
Asean,Asean,6,0,0,0,0.00256
Washington Monthly College Rankings,Washington Monthly College Rankings,4,0,0,0,0.001848
History Of Dental Treatments,History Of Dental Treatments,3,0,0,0,0.009912
Scoping Review,Scoping Review,2,0,0,0,0.000485
Alexander Bain (Inventor),Alexander Bain (Inventor),5,0,0,0,0.016951
Democratic Capitalism,Democratic Capitalism,2,0,0,0,0.00065
Katakana,Katakana,3,0,0,0,0.007182
Operation Smile,Operation Smile,4,0,0,0,0.012561
Child Development Index,Child Development Index,2,0,0,0,0.001016
German National Library Of Economics,German National Library Of Economics,3,0,0,0,0.010354
Speech Disorder,Speech Disorder,13,0.271564,0.000017,0,0.017083
Carolinas–Virginia Tube Reactor,Carolinas–Virginia Tube Reactor,2,0,0,0,0.012313
"International Classification Of Functioning, Disability And Health","International Classification Of Functioning, Disability And Health",8,0,0,0,0.005009
Green Throttle Games,Green Throttle Games,2,0,0,0,0.0003
Commons,Commons,2,0,0,0,0.000656
Josiah Willard Gibbs,Josiah Willard Gibbs,3,0,0,0,0.007023
Ocular Oncology,Ocular Oncology,2,0,0,0,0.012295
Substance-Related Disorder,Substance-Related Disorder,3,0,0,0,0.006594
Octreotide,Octreotide,2,0,0,0,0.000533
Dysphonia,Dysphonia,3,0,0,0,0.006624
Open Access (Publishing),Open Access (Publishing),2,0,0,0,0.004011
Television Transmitter,Television Transmitter,4,0,0,0,0.010447
Michael J. Ryan (Doctor),Michael J. Ryan (Doctor),4,0,0,0,0.002108
Common Law,Common Law,2,0,0,0,0.001503
Google Groups,Google Groups,2,0,0,0,0.0003
The Demon-Haunted World,The Demon-Haunted World,2,0,0,0,0.00988
Howship–Romberg Sign,Howship–Romberg Sign,2,0,0,0,0.006631
Education In The Netherlands,Education In The Netherlands,3,0,0,0,0.007597
Long-Distance Calling,Long-Distance Calling,4,0,0,0,0.013909
Mouse,Mouse,2,0,0,0,0.000917
Daniel Kahneman,Daniel Kahneman,4,0,0,0,0.00308
Philosophy In Malta,Philosophy In Malta,3,0,0,0,0.007112
Protoculture,Protoculture,2,0,0,0,0.000527
Models Of Communication,Models Of Communication,3,0,0,0,0.01135
"Scottsdale, Arizona","Scottsdale, Arizona",2,0,0,0,0.000304
Google Person Finder,Google Person Finder,2,0,0,0,0.0003
Elaine Fuchs,Elaine Fuchs,2,0,0,0,0.006975
French Revolution,French Revolution,6,0,0,0,0.017788
Adobe Flash,Adobe Flash,7,0,0,0,0.012335
Chatbot,Chatbot,7,0,0,0,0.006147
Utrecht University,Utrecht University,2,0,0,0,0.012512
Charitable Hospital,Charitable Hospital,4,0,0,0,0.008096
Video Conference,Video Conference,2,0,0,0,0.000863
Ethical Code,Ethical Code,3,0,0,0,0.007528
Bu09059,Bu09059,2,0,0,0,0.000533
Evacuations By The Philippines Related To The Covid-19 Pandemic,Evacuations By The Philippines Related To The Covid-19 Pandemic,4,0,0,0,0.002108
Fang Fang,Fang Fang,4,0,0,0,0.002108
Coastal Flood,Coastal Flood,2,0,0,0,0.006161
Vaporizer (Inhalation Device),Vaporizer (Inhalation Device),2,0,0,0,0.000419
Iatrogenic,Iatrogenic,3,0,0,0,0.008096
Eisenhower Trophy,Eisenhower Trophy,2,0,0,0,0.000487
Game Port,Game Port,2,0,0,0,0.004075
Speech Repetition,Speech Repetition,2,0,0,0,0.000692
Abjad,Abjad,3,0,0,0,0.007182
Neurocognitive,Neurocognitive,2,0,0,0,0.000768
Thomas Carlyle,Thomas Carlyle,6,0,0,0,0.002015
Theism,Theism,3,0,0,0,0.007112
African-American History,African-American History,3,0,0,0,0.01031
V5 Interface,V5 Interface,2,0,0,0,0.006943
Return Of Results,Return Of Results,3,0,0,0,0.001777
Ebers Papyrus,Ebers Papyrus,6,0,0,0,0.020823
Chinese Theology,Chinese Theology,2,0,0,0,0.000735
Terabit,Terabit,3,0,0,0,0.010188
Covid-19 Pandemic In Taiwan,Covid-19 Pandemic In Taiwan,4,0,0,0,0.002108
Paresthesia,Paresthesia,3,0,0,0,0.006861
Chris Whitty,Chris Whitty,5,0,0,0,0.002282
Technical Communication,Technical Communication,3,0,0,0,0.007946
Outback,Outback,2,0,0,0,0.001507
Heat Therapy,Heat Therapy,4,0,0,0,0.013232
Luminiferous Aether,Luminiferous Aether,2,0,0,0,0.007215
Radium Girls,Radium Girls,17,0,0,0,0.036836
Ala Nemerenco,Ala Nemerenco,4,0,0,0,0.002108
Resistive Random-Access Memory,Resistive Random-Access Memory,2,0,0,0,0.000678
Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,7,0,0,0,0.004261
Dietetics,Dietetics,3,0,0,0,0.010011
Relativism,Relativism,6,0,0,0,0.015022
Controlled Ovarian Hyperstimulation,Controlled Ovarian Hyperstimulation,2,0,0,0,0.006512
Forced Orgasm,Forced Orgasm,4,0,0,0,0.024052
Somnolence,Somnolence,2,0,0,0,0.006364
Carbon Microphone,Carbon Microphone,4,0,0,0,0.013576
Celsus,Celsus,2,0,0,0,0.01267
Heritage College Of Osteopathic Medicine,Heritage College Of Osteopathic Medicine,2,0,0,0,0.012186
Optical Engineering,Optical Engineering,3,0,0,0,0.001689
Sacred Prostitution In Ancient Greece,Sacred Prostitution In Ancient Greece,4,0,0,0,0.024052
Intrapersonal Communication,Intrapersonal Communication,2,0,0,0,0.007804
Voice Stress Analysis,Voice Stress Analysis,2,0,0,0,0.00988
Pre-Columbian Era,Pre-Columbian Era,3,0,0,0,0.007695
Comorbidities,Comorbidities,2,0,0,0,0.007281
Electronic Voice Phenomenon,Electronic Voice Phenomenon,2,0,0,0,0.00988
Feminist Ethics,Feminist Ethics,3,0,0,0,0.001239
Mathematical Modelling Of Infectious Disease,Mathematical Modelling Of Infectious Disease,5,0,0,0,0.010011
Inconsistent Triad,Inconsistent Triad,2,0,0,0,0.000714
The Pirate Bay,The Pirate Bay,2,0,0,0,0.00713
Ethernet Switch,Ethernet Switch,2,0,0,0,0.003939
Alfred Weber,Alfred Weber,2,0,0,0,0.000527
Transcranial Doppler,Transcranial Doppler,6,0,0,0,0.026906
Electronic Health Records In The United States,Electronic Health Records In The United States,4,0.354182,0.000004,0,0.003598
Glossary Of Cellular And Molecular Biology (0–L),Glossary Of Cellular And Molecular Biology (0–L),4,0,0,0,0.017788
Medical Cannabis,Medical Cannabis,3,0,0,0,0.006621
Criminal Law,Criminal Law,4,0,0,0,0.002287
U.S. State And Local Government Responses To The Covid-19 Pandemic,U.S. State And Local Government Responses To The Covid-19 Pandemic,4,0,0,0,0.002108
Origin Of Speech,Origin Of Speech,5,0,0,0,0.007604
Social Impact Of The Covid-19 Pandemic In Malaysia,Social Impact Of The Covid-19 Pandemic In Malaysia,4,0,0,0,0.002108
Hot Plate Test,Hot Plate Test,2,0,0,0,0.006407
Vladimir Zworykin,Vladimir Zworykin,3,0,0,0,0.007246
Rainforest,Rainforest,4,0,0,0,0.002253
Competence (Law),Competence (Law),3,0,0,0,0.007273
Wrgb,Wrgb,2,0,0,0,0.006751
Listening,Listening,2,0,0,0,0.000424
Single Channel Per Carrier,Single Channel Per Carrier,2,0,0,0,0.003967
2020 Tablighi Jamaat Covid-19 Hotspot In Malaysia,2020 Tablighi Jamaat Covid-19 Hotspot In Malaysia,4,0,0,0,0.002108
"University Of California, San Francisco","University Of California, San Francisco",4,0,0,0,0.013544
Dopamine,Dopamine,7,0,0,0,0.017425
Harm Reduction,Harm Reduction,21,0,0,0,0.04358
Idiopathic Thrombocytopenic Purpura,Idiopathic Thrombocytopenic Purpura,2,0,0,0,0.012023
Commutator (Electric),Commutator (Electric),5,0,0,0,0.013659
The Story Of Alexander Graham Bell,The Story Of Alexander Graham Bell,3,0,0,0,0.010141
Institute Of Medicine,Institute Of Medicine,11,0,0,0,0.023903
Metaphor,Metaphor,3,0,0,0,0.002287
Vaudeville,Vaudeville,2,0,0,0,0.003555
Motto,Motto,2,0,0,0,0.000487
Michael Gove,Michael Gove,2,0,0,0,0.000315
Colonialism,Colonialism,4,0,0,0,0.007315
Androgen Receptor,Androgen Receptor,2,0,0,0,0.006209
Augmented Reality,Augmented Reality,14,0,0,0,0.021028
Breastfeeding And Medications,Breastfeeding And Medications,3,0,0,0,0.007896
Deloitte,Deloitte,4,0,0,0,0.005225
Alcoholic Polyneuropathy,Alcoholic Polyneuropathy,2,0,0,0,0.000546
Intensive-Care Medicine,Intensive-Care Medicine,131,0.352219,0.00007,0,0.667519
Neo-Marxism,Neo-Marxism,3,0,0,0,0.007112
Progress In Artificial Intelligence,Progress In Artificial Intelligence,4,0,0,0,0.002965
Jacques Marescaux,Jacques Marescaux,2,0,0,0,0.001788
Allente,Allente,3,0,0,0,0.007455
"Abilene, Texas","Abilene, Texas",2,0,0,0,0.000311
Online Game,Online Game,8,0,0,0,0.021511
Covid-19 Pandemic In Mauritius,Covid-19 Pandemic In Mauritius,4,0,0,0,0.002108
Netgear Neotv Prime,Netgear Neotv Prime,2,0,0,0,0.0003
Hypnosis,Hypnosis,5,0,0,0,0.013307
Hwlwr,Hwlwr,2,0,0,0,0.012313
Dsm-5,Dsm-5,8,0,0,0,0.01812
Event Processing,Event Processing,8,0,0,0,0.008325
Egyptian Hieroglyphs,Egyptian Hieroglyphs,3,0,0,0,0.007182
Western Pennsylvania English,Western Pennsylvania English,2,0,0,0,0.000595
Mouse (Computing),Mouse (Computing),3,0,0,0,0.01014
Accident,Accident,6,0,0,0,0.012973
Covid-19 Pandemic In Barbados,Covid-19 Pandemic In Barbados,4,0,0,0,0.002108
Cost Reduction,Cost Reduction,3,0,0,0,0.000606
Van Jacobson,Van Jacobson,5,0,0,0,0.017526
441-Line Television System,441-Line Television System,2,0,0,0,0.003513
Intersos,Intersos,2,0,0,0,0.00237
Testimonial,Testimonial,3,0,0,0,0.010715
Monopole Antenna,Monopole Antenna,6,0,0,0,0.020711
International Classification Of Diseases,International Classification Of Diseases,5,0,0,0,0.019228
National Institute Of Mental Health,National Institute Of Mental Health,11,0,0,0,0.030845
Civilization,Civilization,5,0,0,0,0.008995
Vital Organ,Vital Organ,2,0,0,0,0.001308
Base (Search Engine),Base (Search Engine),3,0,0,0,0.012344
Galen Of Pergamon,Galen Of Pergamon,2,0,0,0,0.012158
Education In South Georgia And The South Sandwich Islands,Education In South Georgia And The South Sandwich Islands,3,0,0,0,0.007597
Sleep Paralysis,Sleep Paralysis,2,0,0,0,0.006677
Ed Krol,Ed Krol,4,0,0,0,0.014092
Nuclear Reactor Coolant,Nuclear Reactor Coolant,2,0,0,0,0.012313
"Nairobi Agreement, 1999","Nairobi Agreement, 1999",2,0,0,0,0.000487
District Of Columbia Department Of Health,District Of Columbia Department Of Health,2,0,0,0,0.000487
Toothache,Toothache,2,0,0,0,0.006407
Dna,Dna,20,0,0,0,0.061517
Anti-Discrimination Law,Anti-Discrimination Law,2,0,0,0,0.000754
United States Virgin Islands,United States Virgin Islands,6,0,0,0,0.003329
Student'S T-Test,Student'S T-Test,19,0,0,0,0.037915
2021 Colombian Protests,2021 Colombian Protests,4,0,0,0,0.002108
Michel Foucault,Michel Foucault,8,0,0,0,0.003197
Good Manufacturing Practice,Good Manufacturing Practice,19,0,0,0,0.037766
Microphone Array,Microphone Array,3,0,0,0,0.001839
Aranjuez,Aranjuez,2,0,0,0,0.003785
Dual Diagnosis,Dual Diagnosis,2,0,0,0,0.012659
Boettcher Cell,Boettcher Cell,2,0,0,0,0.000424
Telepsychiatry,Telepsychiatry,51,0.363355,0.000055,0,0.057523
Iceland,Iceland,15,0,0,0,0.016712
Benelux,Benelux,4,0,0,0,0.007545
Clinical Genetics,Clinical Genetics,2,0,0,0,0.012143
Aviation,Aviation,7,0,0,0,0.008155
Trapezoid Body,Trapezoid Body,2,0,0,0,0.000424
Courage,Courage,4,0,0,0,0.001166
Assortativity,Assortativity,4,0,0,0,0.011275
Relationship Between Religion And Science,Relationship Between Religion And Science,5,0,0,0,0.007284
Education In Thailand,Education In Thailand,3,0,0,0,0.007597
Perianesthesia Nursing,Perianesthesia Nursing,102,0.311016,0.000001,0,0.352787
Classical Antiquity,Classical Antiquity,6,0,0,0,0.015775
Solidaridad Internacional Andalucia,Solidaridad Internacional Andalucia,2,0,0,0,0.00237
Asepsis,Asepsis,9,0,0,0,0.03731
Sokal Affair,Sokal Affair,2,0,0,0,0.000527
Crosstalk,Crosstalk,6,0,0,0,0.021
Mesue,Mesue,2,0,0,0,0.001566
Elder Village,Elder Village,2,0,0,0,0.000766
Thin Film,Thin Film,3,0,0,0,0.010656
History Of Paleontology,History Of Paleontology,2,0,0,0,0.012167
1924 Summer Olympics,1924 Summer Olympics,2,0,0,0,0.00134
Drug Test,Drug Test,3,0,0,0,0.00079
Immunity (Medical),Immunity (Medical),6,0,0,0,0.014597
World War I,World War I,38,0,0,0,0.102608
Morbidity,Morbidity,11,0,0,0,0.024986
Western Australia,Western Australia,4,0,0,0,0.002061
Supreme Headquarters Allied Expeditionary Force,Supreme Headquarters Allied Expeditionary Force,2,0,0,0,0.000487
History Of China,History Of China,2,0,0,0,0.000498
Framework Programmes For Research And Technological Development,Framework Programmes For Research And Technological Development,4,0,0,0,0.001562
Widen,Widen,3,0,0,0,0.007145
Osi Model,Osi Model,16,0,0,0,0.05128
Muscle Relaxant,Muscle Relaxant,5,0,0,0,0.019399
Robert F. Kennedy Jr,Robert F. Kennedy Jr,2,0,0,0,0.00988
Abortion In Iceland,Abortion In Iceland,3,0,0,0,0.00057
Gif,Gif,6,0,0,0,0.021571
History Of Communication,History Of Communication,7,0,0,0,0.015395
Private Branch Exchange,Private Branch Exchange,5,0,0,0,0.017184
Jean-Claude Juncker,Jean-Claude Juncker,2,0,0,0,0.000315
St Bartholomew'S Hospital,St Bartholomew'S Hospital,5,0,0,0,0.013712
Co-Production (Society),Co-Production (Society),3,0,0,0,0.001271
Phenomenology (Sociology),Phenomenology (Sociology),2,0,0,0,0.000485
Covid-19 Vaccination In Bulgaria,Covid-19 Vaccination In Bulgaria,4,0,0,0,0.002108
Vector (Epidemiology),Vector (Epidemiology),6,0,0,0,0.013112
Integrated Circuit Design,Integrated Circuit Design,2,0,0,0,0.000806
Commercial Use Of Space,Commercial Use Of Space,3,0,0,0,0.004141
Social Impact Of The Covid-19 Pandemic In New Zealand,Social Impact Of The Covid-19 Pandemic In New Zealand,4,0,0,0,0.002108
Persecution Of Uyghurs In China,Persecution Of Uyghurs In China,3,0,0,0,0.006671
Bachelor Tax,Bachelor Tax,6,0,0,0,0.035932
Agritourism,Agritourism,2,0,0,0,0.012143
Institut Bioforce,Institut Bioforce,2,0,0,0,0.00237
Holocaust Denial,Holocaust Denial,3,0,0,0,0.010874
Euboea,Euboea,2,0,0,0,0.00686
James Augustine Shannon,James Augustine Shannon,2,0,0,0,0.006975
Lockout-Tagout,Lockout-Tagout,4,0,0,0,0.019262
Covid-19 Misinformation In Canada,Covid-19 Misinformation In Canada,4,0,0,0,0.002108
Covid-19 Pandemic In Dadra And Nagar Haveli And Daman And Diu,Covid-19 Pandemic In Dadra And Nagar Haveli And Daman And Diu,4,0,0,0,0.002108
Duloxetine,Duloxetine,3,0,0,0,0.006705
Stomach,Stomach,5,0,0,0,0.024807
Covid-19 Pandemic In Bahrain,Covid-19 Pandemic In Bahrain,4,0,0,0,0.002108
Franklin Institute,Franklin Institute,11,0,0,0,0.038039
Battle Of Copenhagen (1801),Battle Of Copenhagen (1801),2,0,0,0,0.003785
Our Endangered Values,Our Endangered Values,2,0,0,0,0.000487
Fear Of Flying,Fear Of Flying,2,0,0,0,0.006706
Sexual Capital,Sexual Capital,4,0,0,0,0.024052
Mefloquine,Mefloquine,3,0,0,0,0.012506
Annual Leave,Annual Leave,2,0,0,0,0.001285
2024 Dengue Epidemic In Argentina,2024 Dengue Epidemic In Argentina,2,0,0,0,0.001213
Disability And Lgbt Identities,Disability And Lgbt Identities,4,0,0,0,0.001159
Franklin Institute Awards,Franklin Institute Awards,2,0,0,0,0.007098
"Tulsa, Oklahoma","Tulsa, Oklahoma",3,0,0,0,0.003773
Dsc,Dsc,3,0,0,0,0.013308
Moment (Physics),Moment (Physics),3,0,0,0,0.000759
Vga Connector,Vga Connector,2,0,0,0,0.004075
National Electrical Manufacturers Association,National Electrical Manufacturers Association,4,0.211224,0.000001,0,0.004112
State (Polity),State (Polity),2,0,0,0,0.004048
Human Coronavirus 229E,Human Coronavirus 229E,3,0,0,0,0.002016
Civil Defense,Civil Defense,2,0,0,0,0.006161
Western Union,Western Union,15,0,0,0,0.051648
Preventive Medicine,Preventive Medicine,13,0,0,0,0.051865
Methylphenidate,Methylphenidate,4,0,0,0,0.006986
Magnetic Resonance Imaging,Magnetic Resonance Imaging,27,0,0,0,0.099934
Spinal Disc Herniation,Spinal Disc Herniation,2,0,0,0,0.006339
Pancreas,Pancreas,8,0,0,0,0.036976
Maternal Mortality,Maternal Mortality,4,0,0,0,0.012974
North Carolina,North Carolina,13,0,0,0,0.006254
Alejandro Pisanty,Alejandro Pisanty,4,0,0,0,0.014092
Pierre Janet,Pierre Janet,3,0,0,0,0.001374
Edmund Hillary,Edmund Hillary,2,0,0,0,0.006787
Ceramic Engineering,Ceramic Engineering,3,0,0,0,0.006819
Ninth Generation Of Video Game Consoles,Ninth Generation Of Video Game Consoles,2,0,0,0,0.007068
The Singularity Is Near,The Singularity Is Near,2,0,0,0,0.006417
Cultural Conflict,Cultural Conflict,2,0,0,0,0.000527
Analytical Marxism,Analytical Marxism,3,0,0,0,0.007112
Gustav Ludwig Hertz,Gustav Ludwig Hertz,4,0,0,0,0.014157
Fibonacci Coding,Fibonacci Coding,3,0,0,0,0.01089
Prolegomena To Any Future Metaphysics,Prolegomena To Any Future Metaphysics,3,0,0,0,0.007112
Inforg,Inforg,8,0,0,0,0.008325
Word Processing,Word Processing,2,0,0,0,0.004061
Milton S. Eisenhower,Milton S. Eisenhower,2,0,0,0,0.000487
William Ritchie (Physicist),William Ritchie (Physicist),2,0,0,0,0.006758
Breast Cancer Screening,Breast Cancer Screening,2,0,0,0,0.001281
Reliability (Computer Networking),Reliability (Computer Networking),2,0,0,0,0.00408
Velocity Of Money,Velocity Of Money,2,0,0,0,0.007068
Covid-19 Pandemic In Arizona,Covid-19 Pandemic In Arizona,4,0,0,0,0.002108
Anarcho-Capitalism,Anarcho-Capitalism,2,0,0,0,0.00065
Ramsay Hunt Syndrome Type 2,Ramsay Hunt Syndrome Type 2,2,0,0,0,0.000959
